country.a,statea,year,endyear,dispnum3,hiact,hostlev,fatality,victor,pb.year,same.exp,outcome
USA,2,1983,1983,3072,7,Display of force,0,1,1984,0.9901429427622476,Winner
Sudan,625,1983,1983,3072,7,Display of force,0,1,1984,0.5043271164126591,Winner
Egypt,651,1983,1983,3072,7,Display of force,0,1,1984,0.5859620031497915,Winner
Sudan,625,1984,1984,3051,0,No militarized action,0,1,1985,0.7543759658167537,Winner
Egypt,651,1984,1984,3051,8,Display of force,0,1,1985,0.9187266153161575,Winner
USA,2,1984,1984,3051,1,Threat to use force,0,1,1985,0.9848071290248296,Winner
USA,2,1985,1986,3625,1,Threat to use force,0,1,1986,0.9684986682574415,Winner
Kuwait,690,1985,1986,3625,8,Display of force,0,1,1986,0.8989320803369806,Winner
Saudi Arabia,670,1985,1986,3625,1,Threat to use force,0,1,1986,0.6201045437084161,Winner
UK,200,1985,1986,3625,1,Threat to use force,0,1,1986,0.9395967794795003,Winner
USA,2,1986,1986,3636,16,Use of force,NA,1,1987,0.9930605924785979,Winner
India,750,1987,1987,2778,7,Display of force,0,1,1988,0.954220701407814,Winner
USA,2,1989,1989,3901,16,Use of force,3,1,1990,0.9947332467366605,Winner
Morocco,600,1990,1991,3957,7,Display of force,6,1,1991,0.9824539153797281,Winner
Egypt,651,1990,1991,3957,20,War,6,1,1991,0.9432966775522968,Winner
Niger,436,1990,1991,3957,7,Display of force,6,1,1991,0.8878252735490783,Winner
Senegal,433,1990,1991,3957,7,Display of force,6,1,1991,0.8992292750011525,Winner
Sierra Leone,451,1990,1991,3957,7,Display of force,6,1,1991,0.7766742815886529,Winner
Canada,20,1990,1991,3957,20,War,6,1,1991,0.9937997572151964,Winner
USA,2,1990,1991,3957,20,War,6,1,1991,0.996038636129927,Winner
Argentina,160,1990,1991,3957,7,Display of force,6,1,1991,0.819569267523255,Winner
Saudi Arabia,670,1990,1991,3957,20,War,6,1,1991,0.9662791759129734,Winner
Syria,652,1990,1991,3957,20,War,6,1,1991,0.879947332681813,Winner
United Arab Emirates,696,1990,1991,3957,16,Use of force,6,1,1991,0.8653775763136354,Winner
Turkey,640,1990,1991,3957,7,Display of force,6,1,1991,0.974085520567049,Winner
Bangladesh,771,1990,1991,3957,7,Display of force,6,1,1991,0.9363688829939759,Winner
Pakistan,770,1990,1991,3957,7,Display of force,6,1,1991,0.8890390499916797,Winner
Belgium-Lux,211,1990,1991,3957,7,Display of force,6,1,1991,0.9960825274007232,Winner
"France,Monac",220,1990,1991,3957,20,War,6,1,1991,0.9935431538358696,Winner
Greece,350,1990,1991,3957,7,Display of force,6,1,1991,0.9384889716404262,Winner
Italy,325,1990,1991,3957,20,War,6,1,1991,0.9940749484534336,Winner
Netherlands,210,1990,1991,3957,7,Display of force,6,1,1991,0.9939815838051185,Winner
Spain,230,1990,1991,3957,7,Display of force,6,1,1991,0.9914522221037068,Winner
UK,200,1990,1991,3957,20,War,6,1,1991,0.977075770025992,Winner
Australia,900,1990,1991,3957,16,Use of force,6,1,1991,0.9661965833040181,Winner
Georgia,372,1992,1993,3561,17,Use of force,2,1,1993,0.7399689141560433,Winner
USA,2,1992,1996,3551,13,Use of force,0,1,1996,0.9825276253390219,Winner
Turkey,640,1992,1996,3551,13,Use of force,0,1,1996,0.941138231256446,Winner
Belgium-Lux,211,1992,1996,3551,13,Use of force,0,1,1996,0.9305844033677654,Winner
"France,Monac",220,1992,1996,3551,13,Use of force,0,1,1996,0.981997062019992,Winner
Germany,255,1992,1996,3551,13,Use of force,0,1,1996,0.9605962839786382,Winner
Greece,350,1992,1996,3551,13,Use of force,0,1,1996,0.9390590764384699,Winner
Italy,325,1992,1996,3551,13,Use of force,0,1,1996,0.984351596108326,Winner
Netherlands,210,1992,1996,3551,13,Use of force,0,1,1996,0.9621399297678546,Winner
Spain,230,1992,1996,3551,13,Use of force,0,1,1996,0.9717861849669481,Winner
UK,200,1992,1996,3551,13,Use of force,0,1,1996,0.9651830083432311,Winner
Honduras,91,1993,1993,4010,11,Display of force,0,1,1994,0.7759574259414964,Winner
Dem.Rp.Congo,490,1993,1993,4032,1,Threat to use force,0,1,1994,0.8726452643522832,Winner
Canada,20,1993,1994,4016,13,Use of force,0,1,1994,0.9974130593977655,Winner
USA,2,1993,1994,4016,13,Use of force,0,1,1994,0.9952607352335121,Winner
Argentina,160,1993,1994,4016,13,Use of force,0,1,1994,0.9708517033821112,Winner
"France,Monac",220,1993,1994,4016,13,Use of force,0,1,1994,0.9933260968257555,Winner
Netherlands,210,1993,1994,4016,13,Use of force,0,1,1994,0.9895659396632602,Winner
UK,200,1993,1994,4016,13,Use of force,0,1,1994,0.988437097259222,Winner
Zambia,551,1994,1994,4307,0,No militarized action,0,1,1995,0.9056918180352799,Winner
Russian Fed,365,1994,1994,4103,8,Display of force,0,1,1995,NA,Winner
Canada,20,1995,1995,4031,16,Use of force,0,1,1996,0.9959518001077307,Winner
Yugoslavia,345,1995,1995,4100,7,Display of force,0,1,1996,-0.04493368210081044,Winner
Russian Fed,365,1996,1996,4297,15,Use of force,0,1,1997,0.9521338108098837,Winner
Myanmar,775,1996,1996,4003,11,Display of force,0,1,1997,0.8020148787310716,Winner
USA,2,1996,1996,4271,16,Use of force,NA,1,1997,0.9986570671811678,Winner
Kuwait,690,1996,1996,4271,8,Display of force,NA,1,1997,0.9568393530826663,Winner
UK,200,1996,1996,4271,16,Use of force,NA,1,1997,0.9822509373389697,Winner
Angola,540,1997,1997,4246,17,Use of force,NA,1,1998,0.7276406281611026,Winner
Ghana,452,1997,1998,4251,14,Use of force,NA,1,1998,0.7947830220576899,Winner
Nigeria,475,1997,1998,4251,17,Use of force,NA,1,1998,0.81259891662243,Winner
Guinea,438,1997,1998,4251,14,Use of force,NA,1,1998,0.8950752245539393,Winner
USA,2,1997,1997,4216,7,Display of force,0,1,1998,0.9839121194229709,Winner
USA,2,1997,2003,4273,20,War,6,1,2003,NA,Winner
UK,200,1997,2003,4273,20,War,6,1,2003,NA,Winner
Turkey,640,1998,1998,4291,7,Display of force,0,1,1999,0.8969515888609271,Winner
Canada,20,1998,1999,4137,16,Use of force,5,1,1999,0.9983833994325946,Winner
USA,2,1998,1999,4137,16,Use of force,5,1,1999,0.9968293712445058,Winner
Turkey,640,1998,1999,4137,16,Use of force,5,1,1999,0.8969515888609271,Winner
Belgium-Lux,211,1998,1999,4137,16,Use of force,5,1,1999,0.9905380023674542,Winner
Denmark,390,1998,1999,4137,16,Use of force,5,1,1999,0.9817759397926638,Winner
"France,Monac",220,1998,1999,4137,16,Use of force,5,1,1999,0.9950557929169316,Winner
Germany,255,1998,1999,4137,16,Use of force,5,1,1999,0.9930340133701254,Winner
Greece,350,1998,1999,4137,8,Display of force,5,1,1999,0.9418573939774287,Winner
Italy,325,1998,1999,4137,16,Use of force,5,1,1999,0.9569149082892509,Winner
Netherlands,210,1998,1999,4137,16,Use of force,5,1,1999,0.9919184986528023,Winner
Portugal,235,1998,1999,4137,16,Use of force,5,1,1999,0.9925910117872384,Winner
Spain,230,1998,1999,4137,16,Use of force,5,1,1999,0.9934189386737,Winner
UK,200,1998,1999,4137,16,Use of force,5,1,1999,0.9952491011538492,Winner
Iceland,395,1998,1999,4137,8,Display of force,5,1,1999,0.8371175633272938,Winner
Norway,385,1998,1999,4137,16,Use of force,5,1,1999,0.9693684953184033,Winner
Poland,290,1998,1999,4137,7,Display of force,5,1,1999,0.9588634323237532,Winner
Albania,339,1998,1999,4137,17,Use of force,5,1,1999,0.9183569646724004,Winner
Russian Fed,365,1999,1999,4334,0,No militarized action,0,1,2000,NA,Winner
Fm USSR,365,1962,1962,61,16,Use of force,0,0,1963,0.7612171250360749,Loser
Cuba,40,1962,1962,61,16,Use of force,0,0,1963,0.8304998866137856,Loser
Benin,434,1963,1964,1407,13,Use of force,0,0,1964,0.9836118899054791,Loser
Gabon,481,1964,1964,92,17,Use of force,2,0,1965,0.9655266248856212,Loser
Thailand,800,1964,1966,1229,17,Use of force,3,0,1966,0.6420919404390458,Loser
Viet Nam,817,1964,1975,611,20,War,6,0,1975,0.4014875971494236,Loser
Guinea,438,1966,1966,1351,17,Use of force,1,0,1967,0.6774801529573036,Loser
Syria,652,1966,1967,1035,20,War,6,0,1967,0.8726466036921993,Loser
Portugal,235,1966,1966,3135,0,No militarized action,0,0,1967,0.9665532287376336,Loser
Czechoslovakia,315,1968,1968,346,0,No militarized action,0,0,1969,0.9553138263659117,Loser
Thailand,800,1970,1970,1605,14,Use of force,0,0,1971,0.9544854816467656,Loser
Pakistan,770,1971,1971,1447,20,War,6,0,1972,0.7657366609273271,Loser
Romania,360,1971,1971,1718,0,No militarized action,0,0,1972,0.8906984987887359,Loser
UK,200,1972,1973,354,16,Use of force,1,0,1973,0.992457796621172,Loser
Iraq,645,1972,1973,1612,17,Use of force,1,0,1973,0.8317777996031339,Loser
Syria,652,1973,1974,3437,16,Use of force,NA,0,1974,0.4635361265412847,Loser
Tanzania,510,1973,1973,1362,17,Use of force,NA,0,1974,0.3962089619477344,Loser
Rwanda,517,1973,1973,1362,0,No militarized action,NA,0,1974,0.8707669989846872,Loser
Greece,350,1974,1974,1293,10,Display of force,6,0,1975,0.8876357143237174,Loser
Cyprus,352,1974,1974,1293,20,War,6,0,1975,0.32838381580416903,Loser
Viet Nam,817,1974,1974,355,17,Use of force,NA,0,1975,0.6735270174453922,Loser
UK,200,1975,1976,619,16,Use of force,0,0,1976,0.9897032782786528,Loser
Chad,483,1977,1980,3631,17,Use of force,NA,0,1980,0.3154508046034064,Loser
Somalia,520,1977,1978,2069,20,War,6,0,1978,0.7163614492864386,Loser
Uganda,500,1978,1979,2141,20,War,6,0,1979,0.49461747386271665,Loser
USA,2,1978,1979,2223,7,Display of force,0,0,1979,0.9934838654402952,Loser
Iraq,645,1979,1988,2115,20,War,6,0,1988,0.32264005892437314,Loser
Philippines,840,1980,1980,3117,0,No militarized action,0,0,1981,0.9961832395001119,Loser
Congo,484,1980,1980,3121,0,No militarized action,0,0,1981,0.837782944026521,Loser
Iraq,645,1981,1981,3101,0,No militarized action,NA,0,1982,0.9273482653901739,Loser
Argentina,160,1982,1982,3077,0,No militarized action,0,0,1983,0.623356832524329,Loser
Argentina,160,1982,1982,3630,20,War,6,0,1983,0.623356832524329,Loser
Israel,666,1982,1985,3444,20,War,6,0,1985,0.8644149848521716,Loser
Cuba,40,1983,1983,3058,0,No militarized action,3,0,1984,0.09915771684245374,Loser
Libya,620,1983,1983,3072,7,Display of force,0,0,1984,0.3044370810781978,Loser
Egypt,651,1983,1983,3384,7,Display of force,0,0,1984,0.5859620031497915,Loser
Libya,620,1984,1984,3051,16,Use of force,0,0,1985,0.8568504018804712,Loser
Iran,630,1985,1986,3625,7,Display of force,0,0,1986,0.9425210561491169,Loser
Libya,620,1986,1986,3636,16,Use of force,NA,0,1987,0.8287723641659238,Loser
Sri Lanka,780,1987,1987,2778,8,Display of force,0,0,1988,0.919567526085146,Loser
Panama,95,1989,1989,3901,16,Use of force,3,0,1990,0.9992759515642444,Loser
Iraq,645,1990,1991,3957,20,War,6,0,1991,0.5214942908615408,Loser
Jordan,663,1990,1991,3957,0,No militarized action,6,0,1991,0.4556153939903796,Loser
Yugoslavia,345,1992,1996,3551,15,Use of force,0,0,1996,0.6656254948652575,Loser
Russian Fed,365,1992,1993,3561,17,Use of force,2,0,1993,NA,Loser
Belgium-Lux,211,1993,1993,4032,0,No militarized action,0,0,1994,0.9961893608027609,Loser
Haiti,41,1993,1994,4016,7,Display of force,0,0,1994,0.9213235225902958,Loser
El Salvador,92,1993,1993,4010,0,No militarized action,0,0,1994,0.9239934361123291,Loser
Dem.Rp.Congo,490,1994,1994,4307,14,Use of force,0,0,1995,0.819085832163603,Loser
Latvia,367,1994,1994,4103,0,No militarized action,0,0,1995,0.8869750927041613,Loser
Spain,230,1995,1995,4031,7,Display of force,0,0,1996,0.9939380053313741,Loser
Croatia,344,1995,1995,4100,0,No militarized action,0,0,1996,0.8730016462543535,Loser
Iraq,645,1996,1996,4271,16,Use of force,NA,0,1997,0.3555781674692664,Loser
Japan,740,1996,1996,4297,0,No militarized action,0,0,1997,0.9949296052259122,Loser
Thailand,800,1996,1996,4003,8,Display of force,0,0,1997,0.9667079569908661,Loser
Iraq,645,1997,2003,4273,20,War,6,0,2003,NA,Loser
Congo,484,1997,1997,4246,17,Use of force,NA,0,1998,0.5894092905081367,Loser
Sierra Leone,451,1997,1998,4251,17,Use of force,NA,0,1998,0.7247102526485676,Loser
Iran,630,1997,1997,4216,0,No militarized action,0,0,1998,0.8423165441426693,Loser
Yugoslavia,345,1998,1999,4137,17,Use of force,5,0,1999,0.549407116572168,Loser
Syria,652,1998,1998,4291,0,No militarized action,0,0,1999,0.7662334923901293,Loser
UK,200,1999,1999,4334,8,Display of force,0,0,2000,NA,Loser
Ghana,452,1962,1962,1418,11,Display of force,0,0,1963,0.9266634970096775,Neither
Peru,135,1962,1962,3244,15,Use of force,0,0,1963,0.9176718572192041,Neither
Egypt,651,1962,1963,1108,17,Use of force,NA,0,1963,0.9358416238283418,Neither
China,710,1962,1962,172,16,Use of force,NA,0,1963,0.9314929637415351,Neither
Korea D P Rp,731,1962,1964,2188,17,Use of force,1,0,1964,0.3653538482454412,Neither
Paraguay,150,1962,1962,1209,17,Use of force,1,0,1963,0.973775919007298,Neither
USA,2,1962,1962,3244,0,No militarized action,0,0,1963,0.9136605906427832,Neither
Jordan,663,1962,1962,1018,17,Use of force,1,0,1963,0.8820660482821265,Neither
Fm USSR,365,1962,1962,2888,15,Use of force,0,0,1963,0.7612171250360749,Neither
Syria,652,1962,1962,3165,17,Use of force,1,0,1963,0.7396773087462095,Neither
Fm USSR,365,1962,1962,3163,16,Use of force,0,0,1963,0.7612171250360749,Neither
Iraq,645,1962,1962,1123,16,Use of force,1,0,1963,0.3649329263096094,Neither
Pakistan,770,1962,1962,1310,17,Use of force,1,0,1963,0.8638346099886031,Neither
Pakistan,770,1962,1962,2629,1,Threat to use force,0,0,1963,0.8638346099886031,Neither
China,710,1962,1962,1466,1,Threat to use force,NA,0,1963,0.9314929637415351,Neither
Nepal,790,1962,1962,1466,17,Use of force,NA,0,1963,0.480469809785231,Neither
India,750,1962,1962,1310,17,Use of force,1,0,1963,0.9766508341263435,Neither
India,750,1962,1962,2629,7,Display of force,0,0,1963,0.9766508341263435,Neither
Cambodia,811,1962,1962,1228,17,Use of force,1,0,1963,0.954208390989142,Neither
Guinea,438,1962,1962,2890,0,No militarized action,0,0,1963,0.21889628187982213,Neither
Mauritania,435,1962,1962,1410,17,Use of force,NA,0,1963,0.6401638727852895,Neither
Mali,432,1962,1962,1410,17,Use of force,NA,0,1963,0.6707457813878236,Neither
Thailand,800,1962,1962,1228,17,Use of force,1,0,1963,0.860261843469755,Neither
Viet Nam,817,1962,1962,2730,12,Display of force,0,0,1963,0.6528665053889876,Neither
Saudi Arabia,670,1962,1963,1108,17,Use of force,NA,0,1963,0.8645320486956218,Neither
Togo,461,1962,1962,1418,0,No militarized action,0,0,1963,0.962097788436698,Neither
Portugal,235,1962,1962,2890,12,Display of force,0,0,1963,0.9613591151960449,Neither
Argentina,160,1962,1962,1209,17,Use of force,1,0,1963,0.9263992880147377,Neither
Israel,666,1962,1962,1018,17,Use of force,1,0,1963,0.9528014937413303,Neither
Turkey,640,1962,1962,3165,17,Use of force,1,0,1963,0.8682688638610095,Neither
USA,2,1962,1962,172,12,Display of force,NA,0,1963,0.9136605906427832,Neither
India,750,1962,1962,1466,17,Use of force,NA,0,1963,0.9766508341263435,Neither
Taiwan,713,1962,1962,172,16,Use of force,NA,0,1963,0.9534148557122847,Neither
Lao P.Dem.R,812,1962,1973,1353,16,Use of force,NA,0,1973,0.30474029077075526,Neither
Japan,740,1962,1962,2888,0,No militarized action,0,0,1963,0.9872097914690755,Neither
Turkey,640,1962,1962,3163,0,No militarized action,0,0,1963,0.8682688638610095,Neither
Thailand,800,1962,1973,1353,17,Use of force,NA,0,1973,0.3132042529681173,Neither
Honduras,91,1962,1962,2344,17,Use of force,1,0,1963,0.6365893786085405,Neither
Turkey,640,1962,1962,1123,16,Use of force,1,0,1963,0.8682688638610095,Neither
Cambodia,811,1962,1962,2730,0,No militarized action,0,0,1963,0.954208390989142,Neither
Nicaragua,93,1962,1962,2344,17,Use of force,1,0,1963,0.9265503224250395,Neither
USA,2,1962,1964,2188,17,Use of force,1,0,1964,0.9349185758055006,Neither
Korea Rep.,732,1962,1964,2188,17,Use of force,1,0,1964,0.7390816875819403,Neither
Haiti,41,1963,1963,1002,16,Use of force,0,0,1964,0.9458380551078566,Neither
Ecuador,130,1963,1963,1803,15,Use of force,0,0,1964,0.6891220197592701,Neither
Fm USSR,365,1963,1963,2218,16,Use of force,0,0,1964,0.8216138658887887,Neither
Fm USSR,365,1963,1963,2899,12,Display of force,0,0,1964,0.8216138658887887,Neither
Chile,155,1963,1963,1102,0,No militarized action,0,0,1964,0.908022316742412,Neither
"France,Monac",220,1963,1963,624,7,Display of force,0,0,1964,0.9929915602283252,Neither
Argentina,160,1963,1963,1102,7,Display of force,0,0,1964,0.8436080717375829,Neither
USA,2,1963,1963,1803,0,No militarized action,0,0,1964,0.9249165657955372,Neither
Egypt,651,1963,1963,3377,17,Use of force,NA,0,1964,0.9443911760179398,Neither
Jordan,663,1963,1965,1019,17,Use of force,1,0,1965,0.45021111373652656,Neither
Indonesia,850,1963,1963,2894,15,Use of force,0,0,1964,0.9605331181661753,Neither
Fm USSR,365,1963,1963,2897,16,Use of force,NA,0,1964,0.8216138658887887,Neither
Greece,350,1963,1964,1279,17,Use of force,2,0,1964,0.94725671149554,Neither
Pakistan,770,1963,1963,1317,14,Use of force,0,0,1964,0.9272606419659746,Neither
Pakistan,770,1963,1963,2630,1,Threat to use force,0,0,1964,0.9272606419659746,Neither
Indonesia,850,1963,1965,1070,17,Use of force,4,0,1965,0.608621108899557,Neither
India,750,1963,1963,1317,0,No militarized action,0,0,1964,0.7277627071405283,Neither
India,750,1963,1963,2630,0,No militarized action,0,0,1964,0.7277627071405283,Neither
Cambodia,811,1963,1963,2623,0,No militarized action,0,0,1964,0.9293160906782979,Neither
China,710,1963,1966,2892,17,Use of force,NA,0,1966,0.9114392736875666,Neither
Cambodia,811,1963,1963,2729,15,Use of force,0,0,1964,0.9293160906782979,Neither
Brazil,140,1963,1963,624,8,Display of force,0,0,1964,0.9697560062036036,Neither
Turkey,640,1963,1964,1279,17,Use of force,2,0,1964,0.837051315144858,Neither
Morocco,600,1963,1963,1084,17,Use of force,3,0,1964,0.41737656161663633,Neither
Algeria,615,1963,1963,1084,17,Use of force,3,0,1964,0.9171965638608561,Neither
Israel,666,1963,1963,3377,17,Use of force,NA,0,1964,0.955937918514961,Neither
Somalia,520,1963,1964,1425,17,Use of force,3,0,1964,0.6852393957609139,Neither
Somalia,520,1963,1964,1426,17,Use of force,NA,0,1964,0.6852393957609139,Neither
Ethiopia,530,1963,1964,1425,17,Use of force,3,0,1964,0.9291655396697943,Neither
Kenya,501,1963,1964,1426,17,Use of force,NA,0,1964,0.9012785349713525,Neither
Israel,666,1963,1965,1019,17,Use of force,1,0,1965,0.9786600830088031,Neither
Syria,652,1963,1963,3166,16,Use of force,1,0,1964,0.8670183845638373,Neither
Syria,652,1963,1963,3167,12,Display of force,0,0,1964,0.8670183845638373,Neither
Lebanon,660,1963,1963,3166,0,No militarized action,1,0,1964,0.9421274217407964,Neither
Lebanon,660,1963,1963,3167,0,No militarized action,0,0,1964,0.9421274217407964,Neither
Japan,740,1963,1963,2894,0,No militarized action,0,0,1964,0.9930271987319689,Neither
Malaysia,820,1963,1965,1070,17,Use of force,4,0,1965,0.92092599359446,Neither
UK,200,1963,1965,1070,17,Use of force,4,0,1965,0.9400065976536074,Neither
Australia,900,1963,1965,1070,16,Use of force,4,0,1965,0.9561503205947309,Neither
Taiwan,713,1963,1966,2892,17,Use of force,NA,0,1966,0.43885335066179415,Neither
USA,2,1963,1963,2218,0,No militarized action,0,0,1964,0.9249165657955372,Neither
USA,2,1963,1963,2899,0,No militarized action,0,0,1964,0.9249165657955372,Neither
Iran,630,1963,1963,2897,0,No militarized action,NA,0,1964,0.8927519859232681,Neither
Thailand,800,1963,1963,2623,8,Display of force,0,0,1964,0.9557608909740652,Neither
Viet Nam,817,1963,1963,2729,0,No militarized action,0,0,1964,0.9146258211081311,Neither
Canada,20,1963,1963,1002,7,Display of force,0,0,1964,0.9335633193152945,Neither
USA,2,1963,1963,1002,7,Display of force,0,0,1964,0.9249165657955372,Neither
UK,200,1963,1963,1002,7,Display of force,0,0,1964,0.9917298713309275,Neither
Dominican Republic,42,1963,1963,1002,8,Display of force,0,0,1964,0.9458910120374506,Neither
Cambodia,811,1964,1965,1213,17,Use of force,NA,0,1965,0.9241116329229588,Neither
Egypt,651,1964,1964,2906,16,Use of force,0,0,1965,0.8248836589907738,Neither
Fm USSR,365,1964,1964,2220,16,Use of force,1,0,1965,0.9162260095540069,Neither
Fm USSR,365,1964,1964,2901,16,Use of force,0,0,1965,0.9162260095540069,Neither
Korea D P Rp,731,1964,1971,1379,17,Use of force,4,0,1971,0.08682876001612388,Neither
Chile,155,1964,1964,2080,17,Use of force,0,0,1965,0.956114067198846,Neither
Argentina,160,1964,1964,2080,17,Use of force,0,0,1965,0.8196481497456188,Neither
Egypt,651,1964,1965,3378,7,Display of force,0,0,1965,0.8248836589907738,Neither
Pakistan,770,1964,1966,1312,20,War,6,0,1966,0.6397236371849864,Neither
China,710,1964,1966,623,14,Use of force,3,0,1966,0.9361119179531904,Neither
Indonesia,850,1964,1964,2904,16,Use of force,0,0,1965,0.5968520718445008,Neither
India,750,1964,1966,1312,20,War,6,0,1966,0.6425847374286833,Neither
Lao P.Dem.R,812,1964,1964,2031,16,Use of force,0,0,1965,0.9533124574420261,Neither
Fm USSR,365,1964,1964,2907,12,Display of force,0,0,1965,0.9162260095540069,Neither
Viet Nam,817,1964,1965,1213,16,Use of force,NA,0,1965,0.7286120235833399,Neither
USA,2,1964,1964,2906,0,No militarized action,0,0,1965,0.9871450059795049,Neither
Israel,666,1964,1965,3378,15,Use of force,0,0,1965,0.9750548754632259,Neither
Saudi Arabia,670,1964,1964,2153,1,Threat to use force,0,0,1965,0.9227659361185464,Neither
Egypt,651,1964,1964,2153,0,No militarized action,0,0,1965,0.8248836589907738,Neither
Malaysia,820,1964,1964,2904,0,No militarized action,0,0,1965,0.9675663913178615,Neither
India,750,1964,1966,623,16,Use of force,3,0,1966,0.6425847374286833,Neither
Fm USSR,365,1964,1965,2707,12,Display of force,0,0,1965,0.9162260095540069,Neither
USA,2,1964,1964,2220,12,Display of force,1,0,1965,0.9871450059795049,Neither
USA,2,1964,1964,2901,0,No militarized action,0,0,1965,0.9871450059795049,Neither
Sweden,380,1964,1964,2907,0,No militarized action,0,0,1965,0.9875828767059371,Neither
China,710,1964,1965,2707,12,Display of force,0,0,1965,0.9666119722983852,Neither
Thailand,800,1964,1964,2031,8,Display of force,0,0,1965,0.9110351443664537,Neither
Rwanda,517,1964,1964,1361,16,Use of force,0,0,1965,0.6412539838900811,Neither
Korea Rep.,732,1964,1971,1379,17,Use of force,4,0,1971,0.5334557982523926,Neither
Burundi,516,1964,1964,1361,0,No militarized action,0,0,1965,0.8849954487302197,Neither
Dem.Rp.Congo,490,1965,1965,1328,7,Display of force,0,0,1966,0.9213061201524324,Neither
Congo,484,1965,1965,1328,0,No militarized action,0,0,1966,0.9147722646388685,Neither
Uganda,500,1965,1965,1319,17,Use of force,NA,0,1966,0.7525110429270871,Neither
Cambodia,811,1965,1966,1216,7,Display of force,0,0,1966,0.9112452070538957,Neither
China,710,1965,1966,1216,1,Threat to use force,0,0,1966,0.9743345525383081,Neither
China,710,1965,1967,2929,17,Use of force,NA,0,1967,0.9271020893489615,Neither
Fm USSR,365,1965,1965,2910,0,No militarized action,0,0,1966,0.9736313772110555,Neither
Korea D P Rp,731,1965,1965,2916,16,Use of force,0,0,1966,0.8091617359437365,Neither
Chile,155,1965,1965,1608,17,Use of force,1,0,1966,0.9352351776985258,Neither
Argentina,160,1965,1965,1608,17,Use of force,1,0,1966,0.7052387710327204,Neither
